Country,Time,GDP (Million USD),GDP_USD,Exports_USD,Imports_USD,Trade_Openness_pct_GDP,Openness_Lag1
AT,2024,534374.8636559532,534374863655.9532,470719370.0,17573286978.0,3.3766570202331376,3.774806804902011
AT,2025,273659.0045356407,273659004535.64072,280480820.0,6799522315.0,2.587162496996483,3.3766570202331376
BE,2024,670736.2747369313,670736274736.9313,5659451810.0,27786935658.0,4.986518357176667,4.459500132673629
BE,2025,346457.2291145808,346457229114.5808,2021093370.0,11745737281.0,3.973601788071512,4.986518357176667
BG,2024,113309.60858822016,113309608588.22015,93913920.0,1489084413.0,1.397055689030569,1.599367828568243
BG,2025,55423.22483363421,55423224833.63421,22582310.0,607473711.0,1.136808662598145,1.397055689030569
CY,2024,37617.981753185806,37617981753.18581,15674220.0,58697290.0,0.1977020205069922,0.3675574875885731
CY,2025,19410.67575065873,19410675750.65873,8366330.0,39657604.0,0.2474099027612175,0.1977020205069922
CZ,2024,346930.8075602504,346930807560.2504,1031965530.0,8072730961.0,2.624355143040681,2.454467965475657
CZ,2025,180178.6870934401,180178687093.4401,460927730.0,3518255240.0,2.2084648490841805,2.624355143040681
DE,2024,4682807.200717305,4682807200717.305,10003237680.0,160380001936.0,3.638485043541852,3.699281520249742
DE,2025,3706492.417588456,3706492417588.456,5900916780.0,68462027305.99999,2.0062888496176265,3.638485043541852
DK,2024,424327.1360618704,424327136061.8704,740448600.0,10035959358.0,2.539646193268373,2.986522042205839
DK,2025,216503.25952951369,216503259529.51367,234465210.0,5134602259.0,2.479901448443593,2.539646193268373
EE,2024,43097.78796754595,43097787967.54595,80271200.0,1065177975.0,2.657791104876568,2.000401197123875
EE,2025,21986.408225904044,21986408225.904045,39909920.0,448557894.0,2.2216808174447285,2.657791104876568
ES,2024,1724269.6974092978,1724269697409.298,5363651520.0,21250508208.0,1.5435033027598626,1.6189615978826812
ES,2025,1384240.9577195598,1384240957719.5598,2546602190.0,9516509004.0,0.8714603571529289,1.5435033027598626
FI,2024,298471.1061767449,298471106176.74493,185174270.0,8123674776.0,2.783803481828412,2.5752824569736115
FI,2025,149892.937488557,149892937488.557,66569910.0,3303069454.0,2.2480307748036776,2.783803481828412
FR,2024,3158302.6341944137,3158302634194.4136,6968394000.0,59783329349.0,2.113531573139644,2.1084585012669943
FR,2025,2466549.170819884,2466549170819.8843,3293957870.0,29181447977.0,1.3166332230954525,2.113531573139644
HR,2024,92985.13827109765,92985138271.09764,54698659.99999999,1000109643.0,1.13438375487996,1.0709671394601863
HR,2025,46765.45690780231,46765456907.80231,7601490.0,431428274.00000006,0.938790707991036,1.13438375487996
HU,2024,222528.24180867927,222528241808.6793,1305601570.0,12694204236.0,6.291249008310803,5.568491391985548
HU,2025,107928.25156125613,107928251561.25612,584268130.0,5448754112.0,5.589845248790932,6.291249008310803
IE,2024,608727.1758470513,608727175847.0513,2021808860.0,103281107261.0,17.29886890206104,14.856991473439704
IE,2025,357157.097366236,357157097366.236,775523210.0,83909771017.0,23.710936966251023,17.29886890206104
IT,2024,2378956.3851080914,2378956385108.092,3198927430.0,76344273682.0,3.3436174622590165,3.2899817065242405
IT,2025,1192305.1729904783,1192305172990.4785,1721486820.0,32487468887.0,2.8691442830193266,3.3436174622590165
LT,2024,85456.85849190856,85456858491.90855,131828040.0,2029345424.0,2.528964324384368,2.846886124377068
LT,2025,69144.1472892417,69144147289.2417,63843229.99999999,921166925.0,1.4245748824980593,2.528964324384368
LU,2024,93192.53825396064,93192538253.96065,116648310.0,698269412.0,0.8744452477292262,0.940138831800684
LU,2025,47619.76987243723,47619769872.43723,161032630.0,479481364.0,1.3450589864583438,0.8744452477292262
LV,2024,43644.368581469775,43644368581.46977,156367560.00000003,630806662.0,1.8036100591777449,2.5592895837392904
LV,2025,21563.59409115945,21563594091.15945,15760090.0,265932635.0,1.3063347594522157,1.8036100591777449
MT,2024,24959.641500631693,24959641500.63169,218972810.0,220284545.0,1.75987044921652,1.8077470817676689
MT,2025,12997.487487030305,12997487487.030304,14870940.0,155625190.0,1.3117622168910077,1.75987044921652
NL,2024,1214007.7557341363,1214007755734.1362,12547939180.0,34055215587.0,3.838785588220405,4.304668454900462
NL,2025,978399.5234914576,978399523491.4574,5834573840.0,16805562238.000002,2.313997046646934,3.838785588220405
PL,2024,917557.823614955,917557823614.955,1822429900.0,13695579783.0,1.691229618844381,1.81114755777642
PL,2025,470960.1661583586,470960166158.3586,988547090.0,6125044769.0,1.5104444855763195,1.691229618844381
PT,2024,313064.62097991514,313064620979.9152,170002460.0,6783865073.0,2.2212243310131585,2.262146407426537
PT,2025,160558.32854936726,160558328549.36725,103674160.0,2964115275.0,1.910700903975056,2.2212243310131585
RO,2024,382367.6992621983,382367699262.1983,173643490.0,3910346331.0,1.0680791889273875,1.2074877123494263
RO,2025,180073.17802384272,180073178023.8427,68345930.0,1519591769.0,0.8818291077140583,1.0680791889273875
SE,2024,603409.323595179,603409323595.179,886182110.0,17984515767.0,3.1273460881522865,3.31666352420486
SE,2025,316694.25038053247,316694250380.5325,343508040.0,7292101444.0,2.4110350834678016,3.1273460881522865
SI,2024,72927.59025171319,72927590251.7132,21240930.0,6291803638.0,8.65659285629789,5.699874144717136
SI,2025,37197.166791102456,37197166791.102455,14059779.999999998,1884016189.0,5.1027433881174495,8.65659285629789
SK,2024,140852.35493608378,140852354936.08377,46167370.0,8181376310.0,5.841253902878308,6.2689126819214565
SK,2025,71395.33992121284,71395339921.21284,19237890.0,3038355281.0,4.2826228915979065,5.841253902878308
